,dates,long_ma_type,short_ma_type,long_window,long_to_short_ratio,rsi_bounds,z_score_centre,total_return_percent,volatility,max_drawdown,return_per_unit_risk
249,"['2022-04-01', '2022-06-30']",ema,ema,72,4,"[30, 70]",0.75,4.112124260202044,11.439275268407027,-18.871721846032685,0.35947419427513055
250,"['2022-04-01', '2022-06-30']",ema,ema,72,4,"[40, 60]",1.0,3.6257555333794045,11.591586832597427,-18.55198523184124,0.31279199179038975
251,"['2022-04-01', '2022-06-30']",ema,ema,72,4,"[40, 60]",0.75,3.4472739039860256,11.640420861507407,-18.39626885603584,0.2961468442593417
252,"['2022-04-01', '2022-06-30']",ema,ema,84,2,"[20, 80]",1.0,1.6405875308326268,11.701454397999315,-20.81738371786975,0.14020372810350226
253,"['2022-04-01', '2022-06-30']",ema,ema,84,2,"[20, 80]",0.75,-0.2091755957919661,11.69394164486823,-21.021210189170613,-0.017887518353040588
254,"['2022-04-01', '2022-06-30']",ema,ema,84,2,"[30, 70]",1.0,1.5531615620721473,11.542320076017393,-20.919099804385333,0.13456233684762414
255,"['2022-04-01', '2022-06-30']",ema,ema,84,2,"[30, 70]",0.75,0.9640237737654767,11.598212017094353,-20.395747241919366,0.08311830930014238
256,"['2022-04-01', '2022-06-30']",ema,ema,84,2,"[40, 60]",1.0,2.6169620722043208,11.076410950401295,-18.40650836890135,0.23626444377359518
257,"['2022-04-01', '2022-06-30']",ema,ema,84,2,"[40, 60]",0.75,1.8572610071855067,11.170943804203793,-18.843696954358684,0.1662581998207342
258,"['2022-04-01', '2022-06-30']",ema,ema,84,3,"[20, 80]",1.0,3.2548181674463494,11.619276281200078,-19.958623245602976,0.28012228031040337
259,"['2022-04-01', '2022-06-30']",ema,ema,84,3,"[20, 80]",0.75,1.0957555786744733,11.589436340416297,-19.91832523088985,0.09454778873526418
260,"['2022-04-01', '2022-06-30']",ema,ema,84,3,"[30, 70]",1.0,1.2792267298823212,11.528453807658455,-20.903951573014407,0.11096255848572854
261,"['2022-04-01', '2022-06-30']",ema,ema,84,3,"[30, 70]",0.75,-0.3094215497506436,11.533506079529888,-20.79036975013791,-0.026828056240401774
262,"['2022-04-01', '2022-06-30']",ema,ema,84,3,"[40, 60]",1.0,4.4572490706203505,11.140696014939255,-17.29365908303027,0.40008712782786165
263,"['2022-04-01', '2022-06-30']",ema,ema,84,3,"[40, 60]",0.75,3.286162684544691,11.345457308154952,-18.58462339684617,0.2896456789082133
264,"['2022-04-01', '2022-06-30']",ema,ema,84,4,"[20, 80]",1.0,3.4230053781296066,11.610338053746293,-19.71636003559957,0.294823920051588
265,"['2022-04-01', '2022-06-30']",ema,ema,84,4,"[20, 80]",0.75,2.343444875682632,11.533953605496002,-19.15670870880664,0.20317793497677722
266,"['2022-04-01', '2022-06-30']",ema,ema,84,4,"[30, 70]",1.0,2.2753852952450915,11.462157615726358,-20.510696393865583,0.19851282555417032
267,"['2022-04-01', '2022-06-30']",ema,ema,84,4,"[30, 70]",0.75,0.8309682112853434,11.514497357559733,-20.638281783421316,0.07216712857550653
268,"['2022-04-01', '2022-06-30']",ema,ema,84,4,"[40, 60]",1.0,2.159846222410744,11.264773644056197,-18.139931614641235,0.19173454262442072
269,"['2022-04-01', '2022-06-30']",ema,ema,84,4,"[40, 60]",0.75,2.4193033079343618,11.34697624124104,-18.15315690515997,0.21321127818539948
270,"['2022-04-01', '2022-06-30']",ema,ema,96,2,"[20, 80]",1.0,1.524080005534545,11.688396433360145,-21.119712419106605,0.13039256618509534
271,"['2022-04-01', '2022-06-30']",ema,ema,96,2,"[20, 80]",0.75,0.6551726857373597,11.685108601948393,-19.961290751178375,0.056069028372411976
272,"['2022-04-01', '2022-06-30']",ema,ema,96,2,"[30, 70]",1.0,0.7853951035381002,11.633147858317036,-21.359436375824867,0.06751354947978139
273,"['2022-04-01', '2022-06-30']",ema,ema,96,2,"[30, 70]",0.75,0.5793492254482224,11.650808888731735,-19.995278297063145,0.049726094641252695
274,"['2022-04-01', '2022-06-30']",ema,ema,96,2,"[40, 60]",1.0,2.2332092419259597,11.336311956636681,-18.90936645380019,0.19699609983108832
275,"['2022-04-01', '2022-06-30']",ema,ema,96,2,"[40, 60]",0.75,1.8665645329445146,11.273090684826483,-18.391053443189293,0.16557699970043707
276,"['2022-04-01', '2022-06-30']",ema,ema,96,3,"[20, 80]",1.0,1.8795881735264253,11.692020357140812,-21.092437775444118,0.16075820227070348
277,"['2022-04-01', '2022-06-30']",ema,ema,96,3,"[20, 80]",0.75,0.32675376105639753,11.667436374875008,-20.248746743800343,0.02800561756308682
278,"['2022-04-01', '2022-06-30']",ema,ema,96,3,"[30, 70]",1.0,1.3722758726565143,11.588332133349795,-21.336594150994127,0.11841875576790495
279,"['2022-04-01', '2022-06-30']",ema,ema,96,3,"[30, 70]",0.75,0.12159223502554717,11.61188210440683,-20.250085614416072,0.01047136320643504
280,"['2022-04-01', '2022-06-30']",ema,ema,96,3,"[40, 60]",1.0,2.637793368120178,11.17128219203831,-18.13575689799834,0.2361227048762687
281,"['2022-04-01', '2022-06-30']",ema,ema,96,3,"[40, 60]",0.75,2.9490691261768287,11.25005975024497,-17.515093696826646,0.26213808563217744
282,"['2022-04-01', '2022-06-30']",ema,ema,96,4,"[20, 80]",1.0,2.798414765567281,11.643011345462229,-20.697210277874802,0.24035145913157085
283,"['2022-04-01', '2022-06-30']",ema,ema,96,4,"[20, 80]",0.75,1.8795156754384257,11.563118371898442,-19.33587734273277,0.16254401407895
284,"['2022-04-01', '2022-06-30']",ema,ema,96,4,"[30, 70]",1.0,2.5715261017266178,11.471470893017845,-20.462561519148498,0.22416707723957066
285,"['2022-04-01', '2022-06-30']",ema,ema,96,4,"[30, 70]",0.75,2.0720834463621607,11.435694608828944,-19.076083126859288,0.18119436704460484
286,"['2022-04-01', '2022-06-30']",ema,ema,96,4,"[40, 60]",1.0,4.469255331968003,11.253804256092092,-17.455902747059017,0.39713284772557095
